,Entity,Code,Year,GDP_PPP,PCT
0,Afghanistan,AFG,2019,2065.036235,85.27131783
1,Albania,ALB,2019,13671.48842,100.0
2,Algeria,DZA,2019,11510.55709,0.985147908
3,Angola,AGO,2019,6670.331458,81.10872524
4,Antigua and Barbuda,ATG,2019,21548.72501,4.390243902
5,Argentina,ARG,2019,22063.90437,26.27012688
6,Armenia,ARM,2019,13653.76338,32.56803928
7,Australia,AUS,2019,49455.53851,21.44437203
8,Austria,AUT,2019,55833.31569,76.96641841
9,Azerbaijan,AZE,2019,14439.3014,7.658506023
10,Bahamas,BHS,2019,37100.36296,0.182800495
11,Bahrain,BHR,2019,45060.42374,0.032900294
12,Bangladesh,BGD,2019,4753.726597,1.565470503
13,Barbados,BRB,2019,15639.04784,3.94218134
14,Belarus,BLR,2019,19283.11715,2.756214289
15,Belgium,BEL,2019,51742.72638,20.77942649
16,Belize,BLZ,2019,7251.921351,96.40324207
17,Benin,BEN,2019,3287.309538,3.389004563
18,Bermuda,BMU,2019,81804.26568,0.0
19,Bhutan,BTN,2019,11832.15825,99.99929404
20,Bolivia,BOL,2019,8724.474187,38.48891426
21,Bosnia and Herzegovina,BIH,2019,14896.79004,38.76267233
22,Botswana,BWA,2019,17776.80831,0.165089148
23,Brazil,BRA,2019,14763.8717,83.05034142
24,Brunei,BRN,2019,62098.01134,0.049189198
25,Bulgaria,BGR,2019,23191.57458,16.37471939
26,Burkina Faso,BFA,2019,2178.322879,15.61938959
27,Burundi,BDI,2019,751.6641528,67.40860951
28,Cambodia,KHM,2019,4388.800909,54.29022329
29,Cameroon,CMR,2019,3642.276273,61.93117315
30,Canada,CAN,2019,49006.74311,67.01762979
31,Cayman Islands,CYM,2019,73633.70163,2.32534722
32,Central African Republic,CAF,2019,945.1420429,99.33774834
33,Chad,TCD,2019,1579.626101,3.896103896
34,Chile,CHL,2019,24967.58021,46.47018421
35,China,CHN,2019,16092.30077,27.88784036
36,Colombia,COL,2019,14585.30249,73.95463976
37,Comoros,COM,2019,3059.491726,0.341685649
38,Congo,COG,2019,3842.798856,35.4483017
39,Costa Rica,CRI,2019,20805.34368,99.20744565
40,Croatia,HRV,2019,28753.51627,66.06176544
41,Cyprus,CYP,2019,40226.80949,10.11246609
42,Czechia,CZE,2019,40696.31049,10.88552445
43,Democratic Republic of Congo,COD,2019,1097.94884,99.96585105
44,Denmark,DNK,2019,57678.09889,75.95286224
45,Djibouti,DJI,2019,5534.766172,2.43902439
46,Dominica,DMA,2019,11905.87052,23.48466367
47,Dominican Republic,DOM,2019,18412.89999,13.43216836
48,Ecuador,ECU,2019,11370.6033,78.90859112
49,Egypt,EGY,2019,11763.25328,9.986839045
50,El Salvador,SLV,2019,8796.062064,67.63899637
51,Equatorial Guinea,GNQ,2019,18502.56396,43.33708593
52,Estonia,EST,2019,36830.07479,25.8049931
53,Ethiopia,ETH,2019,2221.404665,99.96286966
54,Fiji,FJI,2019,13684.36082,60.25755357
55,Finland,FIN,2019,48689.23415,46.1396677
56,France,FRA,2019,45834.16691,19.8944004
57,Gabon,GAB,2019,14950.07708,40.7022793
58,Gambia,GMB,2019,2222.87959,0.958466454
59,Georgia,GEO,2019,14989.25816,76.90600729
60,Germany,DEU,2019,53639.26072,40.13909588
61,Ghana,GHA,2019,5396.866088,50.18852136
62,Greece,GRC,2019,29723.22196,31.60898513
63,Grenada,GRD,2019,17050.29304,1.556827546
64,Guatemala,GTM,2019,8653.308195,59.38641226
65,Guinea,GIN,2019,2567.033987,30.97223649
66,Guinea-Bissau,GNB,2019,1939.28951,4.545454545
67,Guyana,GUY,2019,13082.20262,1.223454929
68,Haiti,HTI,2019,2905.438565,23.42958756
69,Honduras,HND,2019,5736.181633,74.8734238
70,Hong Kong,HKG,2019,59586.20401,0.28733423
71,Hungary,HUN,2019,32553.5237,13.97531874
72,Iceland,ISL,2019,56913.95685,99.98536179
73,India,IND,2019,6713.932211,20.78001104
74,Indonesia,IDN,2019,11811.97556,16.95391839
75,Iran,IRN,2019,12389.22335,10.03508972
76,Iraq,IRQ,2019,10565.24743,3.02982653
77,Ireland,IRL,2019,87786.15693,36.43819069
78,Israel,ISR,2019,40007.31916,4.203040736
79,Italy,ITA,2019,42662.52237,40.35068111
80,Jamaica,JAM,2019,9777.005686,13.37804347
81,Japan,JPN,2019,41380.09358,23.68138566
82,Jordan,JOR,2019,10071.37989,13.76005575
83,Kazakhstan,KAZ,2019,26351.80444,10.46614955
84,Kenya,KEN,2019,4329.871884,89.19975494
85,Kiribati,KIR,2019,2270.108607,16.03230547
86,Kosovo,OWID_KOS,2019,11485.92401,5.153469625
87,Kuwait,KWT,2019,49853.73628,0.220868906
88,Kyrgyzstan,KGZ,2019,5258.366696,92.35465434
89,Laos,LAO,2019,7886.652814,57.48219193
90,Latvia,LVA,2019,30858.75007,48.49728637
91,Lebanon,LBN,2019,14551.59371,1.863254249
92,Lesotho,LSO,2019,2583.924371,100.0
93,Liberia,LBR,2019,1427.81909,0.999167361
94,Libya,LBY,2019,15174.16252,0.025744427
95,Lithuania,LTU,2019,37062.58675,78.54715645
96,Luxembourg,LUX,2019,113940.2374,71.52851872
97,Madagascar,MDG,2019,1618.532314,43.52703351
98,Malawi,MWI,2019,1514.662677,88.00192806
99,Malaysia,MYS,2019,28364.47632,17.86007455
100,Maldives,MDV,2019,19531.04256,0.401391491
101,Mali,MLI,2019,2321.917173,38.82586849
102,Malta,MLT,2019,43950.58805,10.12124434
103,Mauritania,MRT,2019,5197.072251,52.35314726
104,Mauritius,MUS,2019,22870.28625,21.05195831
105,Mexico,MEX,2019,19701.33767,17.64992192
106,Moldova,MDA,2019,13022.00461,6.97675284
107,Mongolia,MNG,2019,12316.79137,7.924562129
108,Montenegro,MNE,2019,21533.94924,62.95706035
109,Morocco,MAR,2019,7537.485272,20.65839326
110,Mozambique,MOZ,2019,1281.506041,83.16843462
111,Namibia,NAM,2019,9845.213068,98.52351692
112,Nauru,NRU,2019,13527.41194,0.0
113,Nepal,NPL,2019,3952.760349,100.0
114,Netherlands,NLD,2019,56629.11079,18.68518334
115,New Zealand,NZL,2019,42877.94291,82.37626493
116,Nicaragua,NIC,2019,5451.707835,63.00969174
117,Niger,NER,2019,1224.510262,4.079458792
118,Nigeria,NGA,2019,5135.499469,18.7731613
119,North Macedonia,MKD,2019,16600.14365,22.8937498
120,Norway,NOR,2019,64452.81262,98.21136753
121,Oman,OMN,2019,27294.57298,0.010825694
122,Pakistan,PAK,2019,4690.484777,34.69820558
123,Palestine,PSE,2019,6245.448697,0.124920228
124,Panama,PAN,2019,31432.11327,82.08157439
125,Papua New Guinea,PNG,2019,4349.808048,19.79725925
126,Paraguay,PRY,2019,12615.52865,99.99622665
127,Peru,PER,2019,12853.69207,61.65545299
128,Philippines,PHL,2019,8914.723798,21.34343365
129,Poland,POL,2019,33120.51784,15.0679882
130,Portugal,PRT,2019,34879.70597,53.62336863
131,Puerto Rico,PRI,2019,34804.93471,23.78381672
132,Qatar,QAT,2019,90043.799,0.261083609
133,Romania,ROU,2019,29857.64647,41.60497931
134,Russia,RUS,2019,27210.546,18.65550244
135,Rwanda,RWA,2019,2227.517033,51.53404542
136,Saint Kitts and Nevis,KNA,2019,26235.55455,3.878870364
137,Saint Lucia,LCA,2019,15448.34491,0.823805066
138,Saint Vincent and the Grenadines,VCT,2019,12484.72871,17.6056338
139,Samoa,WSM,2019,6516.520678,34.33354653
140,Sao Tome and Principe,STP,2019,4005.341623,7.407407407
141,Saudi Arabia,SAU,2019,46962.14769,0.044209316
142,Senegal,SEN,2019,3361.461548,11.48868876
143,Serbia,SRB,2019,18292.17503,31.81334341
144,Seychelles,SYC,2019,27521.16677,1.153846154
145,Sierra Leone,SLE,2019,1719.789744,69.25014099
146,Singapore,SGP,2019,98411.58206,3.269877257
147,Slovakia,SVK,2019,31871.33492,25.57413807
148,Slovenia,SVN,2019,38905.54786,32.1642895
149,Solomon Islands,SLB,2019,2660.979697,4.80825444
150,Somalia,SOM,2019,866.7622897,4.953917051
151,South Africa,ZAF,2019,12481.81351,5.517367969
152,South Korea,KOR,2019,42719.00026,5.711259281
153,Spain,ESP,2019,40805.91697,36.94336858
154,Sri Lanka,LKA,2019,13070.12564,46.21936258
155,Sudan,SDN,2019,4185.600635,59.71511069
156,Suriname,SUR,2019,19036.74504,63.10601324
157,Sweden,SWE,2019,52531.17438,58.48028686
158,Switzerland,CHE,2019,70920.32473,62.41012353
159,Tajikistan,TJK,2019,3581.411402,93.05389997
160,Tanzania,TZA,2019,2660.420433,34.31469005
161,Thailand,THA,2019,18453.46982,18.46649112
162,Togo,TGO,2019,2121.899918,0.78058596
163,Tonga,TON,2019,6378.128346,0.0
164,Trinidad and Tobago,TTO,2019,25827.88507,0.059988242
165,Tunisia,TUN,2019,10755.57266,3.69868126
166,Turkey,TUR,2019,28199.05159,44.83022231
167,Turkmenistan,TKM,2019,15538.41997,0.001416276
168,Turks and Caicos Islands,TCA,2019,29251.07773,0.0
169,Uganda,UGA,2019,2187.465227,94.0600133
170,Ukraine,UKR,2019,12808.799,7.302958516
171,United Arab Emirates,ARE,2019,67119.15324,3.21236032
172,United Kingdom,GBR,2019,46406.46175,36.72220846
173,United States,USA,2019,62630.87328,18.19853825
174,Uruguay,URY,2019,23032.73404,98.30101854
175,Uzbekistan,UZB,2019,7014.324699,8.94107511
176,Vanuatu,VUT,2019,3117.678832,13.56454444
177,Vietnam,VNM,2019,8041.178384,28.59496511
178,World,OWID_WRL,2019,16915.28785,27.27854084
179,Zambia,ZMB,2019,3470.448024,82.19044441
180,Zimbabwe,ZWE,2019,3027.656038,57.93288452
